id,title,assignee_id,due_date,status_option_id,status_mapped,status_raw,priority_option_id,priority_mapped,priority_raw,description,completed,created_by,date_created,updated_timestamp
Rec09D6QWJFRT,Example Outputs,U06L088EW7K,2025-09-04,Opt2AUH34OG,ToDo,,Opt0183CXDH,P0,,due EOD thursday  Provide inputs and outputs  Provide brief documentation (1 sentence on how it works and relevance of prompts / prompts used)  • Video in-painting • Character on green • Trajectory Control • Qwen Instruct New Angle (first frame + last frame) • Qwen Instruct New character pose (first frame + last frame),,U06KJLR4GBF,2025-09-03T07:10:08.000Z,1756883535
Rec09D8QPC8Q2,Bugfix / smoke test,,,,Unknown,,,None,,,,U06KJLR4GBF,2025-09-03T06:47:53.000Z,1756882079
Rec09D9T9383G,Environments (dev > staging > prod > prod/qzilla),,,,Unknown,,,None,,,,U06KJLR4GBF,2025-09-03T06:47:42.000Z,1756882074
Rec09D6MMMWFP,Throttling (max _3_ running at any time),,,,Unknown,,,None,,,,U06KJLR4GBF,2025-09-03T06:47:31.000Z,1756882062
Rec09D6MHN7L5,Auth/ role based widget acces,,,,Unknown,,,None,,,,U06KJLR4GBF,2025-09-03T06:47:21.000Z,1756882051
Rec09D6MGDESH,Ship Canvas to Qzilla,U06K8F0F1RC,2025-09-08,Opt2AUH34OG,ToDo,,Opt0183CXDH,P0,,,,U06KJLR4GBF,2025-09-03T06:46:15.000Z,1756882024
Rec09CNNK3BF1,Human Build 1 Widget,U09BTLXG89G,,,Unknown,,,None,,,,U06KJLR4GBF,2025-09-02T09:43:10.000Z,1756806200
Rec09D0SUPUDB,Test Qwen BG with Civit style,U06L088EW7K,,Opt2AUH34OG,ToDo,,Opt4GBWBKZB,P1,,A-B test with the current ouputs that have been generated with the SDXL version of the workflow,,U06KJLR4GBF,2025-09-02T09:40:54.000Z,1756806148
Rec09D7C1HFRS,Get Primadonna In Wonder Canvas,U06K8F0F1RC,2025-09-04,Opt2AUH34OG,ToDo,,Opt4GBWBKZB,P1,,,,U06KJLR4GBF,2025-09-02T09:40:03.000Z,1756806070
Rec09D3JY83FY,p2 ref image experiments,U06L088EW7K,,,Unknown,,,None,,,,U06KJLR4GBF,2025-09-02T09:38:58.000Z,1756805973
Rec09D0SL4D9T,p1 v1.0 char LoRA,U06K8F0F1RC,,,Unknown,,,None,,,,U06KJLR4GBF,2025-09-02T09:38:52.000Z,1756805949
Rec09D2GQCN90,p1 v1.0 lineart LoRA,U06K8F0F1RC,,,Unknown,,,None,,,,U06KJLR4GBF,2025-09-02T09:38:29.000Z,1756805944
Rec09DGC2DXQ9,p0 fix workflow inpainting,U06K8F0F1RC,,,Unknown,,,None,,,,U06KJLR4GBF,2025-09-02T09:38:18.000Z,1756805942
Rec09D7BSE5BN,Magic Qwen Workflow Improvements,U06K8F0F1RC,2025-09-05,Opt2AUH34OG,ToDo,,Opt0183CXDH,P0,,,,U06KJLR4GBF,2025-09-02T09:37:46.000Z,1756805897
Rec09DG9LHFB3,Update Job Response,U06K8F0F1RC,,,Unknown,,,None,,,,U06KJLR4GBF,2025-09-02T09:22:57.000Z,1756805002
Rec09D79NSVN0,Document new Auth,U06K8F0F1RC,,,Unknown,,,None,,,,U06KJLR4GBF,2025-09-02T09:22:53.000Z,1756805006
Rec09D62BV6NQ,Uni3C Camera Control for Primadonna,U06K8F0F1RC,2025-09-05,Opt2AUH34OG,ToDo,,Opt4GBWBKZB,P1,,• demo-able • workflow put into comfy deploy • camera trajectory pulled in off of blender camera     ◦ stretch: list of pre-packaged camera trajectories,,U06KJLR4GBF,2025-09-02T04:10:20.000Z,1756889575
Rec09CU6ZEX9B,Background v1.2: Inpainting and decouple some functions in workflow,U06L088EW7K,2025-09-08,OptHSJVP60E,In Progress,,Opt0183CXDH,P0,,"• Add inpainting support • Decouple upscale from the detail mode so that  output is always 2K, but we can programmatically upscale to 4K • Remove color shift (filter node) • [Stretch] Switch to tell the workflow to only return the masked area when inpainting (the rest is made transparent)",,U073Y77J5TN,2025-09-01T01:41:22.000Z,1756871886
Rec09C4EQ1DTM,Char Trainer in Sandbox,U06K8F0F1RC,2025-09-09,Opt2AUH34OG,ToDo,,Opt4GBWBKZB,P1,,lets make char trains fast • Widgets in     ◦ Qwen Edit     ◦ Nano Banana • Char Training widget,,U06KJLR4GBF,2025-08-27T11:59:21.000Z,1756805445
Rec09D2UBKFG8,Tooncomposer Research,U09BTLXG89G,2025-09-05,Opt38B8RWRR,Complete,,OptGESIX7LE,P2,,"read up on tooncomposer, think about training methodologies we can use to increase the resolution - or other ways (VACE train, etc) to train recent video models like wan2.1/wan2.2 to the have anime-like sparse frames",,U06KJLR4GBF,2025-08-27T11:57:58.000Z,1756805646
Rec09BW6Q6GQP,Finish server integration,,,,Unknown,,,None,,,true,U06KJLR4GBF,2025-08-27T11:56:27.000Z,1756788195
Rec09C7A7EU2Z,Convert old widgets,,,,Unknown,,,None,,,true,U06KJLR4GBF,2025-08-27T11:56:17.000Z,1756805034
Rec09CD2RN7A8,WonderCanvas able-to-be-dev'd on,U06K8F0F1RC,2025-09-03,OptHSJVP60E,In Progress,,Opt0183CXDH,P0,,yay,,U06KJLR4GBF,2025-08-27T11:55:25.000Z,1756804891
Rec09D2TYBJE4,Test Qwen Outputs QA vs Prod,U06L088EW7K,2025-09-03,Opt62NHHN5C,ToDo,,Opt0183CXDH,P0,,waiting on Qwen Lineart and Qwen Char Trains,,U06KJLR4GBF,2025-08-27T11:54:44.000Z,1756893986
